media_id,entity_id,entity_type,media_type,url,source_url,authority,focal_point_x,focal_point_y,mobile_focal_point_x,mobile_focal_point_y,qa_status,notes
media:portrait:annie,char:annie,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Annie.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Annie.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:annie,char:annie,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Annie.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:aphelios,char:aphelios,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Aphelios.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aphelios.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:aphelios,char:aphelios,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aphelios.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:ashe,char:ashe,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Ashe.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ashe.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:ashe,char:ashe,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ashe.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:aurelion-sol,char:aurelion-sol,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/AurelionSol.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/AurelionSol.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:aurelion-sol,char:aurelion-sol,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/AurelionSol_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/AurelionSol.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:aurora,char:aurora,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Aurora.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aurora.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:aurora,char:aurora,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aurora_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aurora.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:azir,char:azir,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Azir.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Azir.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:azir,char:azir,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Azir_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Azir.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:bard,char:bard,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Bard.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Bard.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:bard,char:bard,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Bard_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Bard.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:bel-veth,char:bel-veth,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Belveth.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Belveth.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:bel-veth,char:bel-veth,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Belveth_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Belveth.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:blitzcrank,char:blitzcrank,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Blitzcrank.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Blitzcrank.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:blitzcrank,char:blitzcrank,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Blitzcrank_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Blitzcrank.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:brand,char:brand,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Brand.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Brand.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:brand,char:brand,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Brand_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Brand.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
media:portrait:braum,char:braum,CHAMPION,PORTRAIT,https://ddragon.leagueoflegends.com/cdn/16.18.1/img/champion/Braum.png,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Braum.json,RIOT_DATA_DRAGON,0.5,0.5,0.5,0.5,AUTO_DEFAULT,Square portrait; validate resolution.
media:splash:braum,char:braum,CHAMPION,SPLASH,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Braum_0.jpg,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Braum.json,RIOT_DATA_DRAGON,,,,,NEEDS_FOCAL_QA,Base splash. Store per-champion focal point after visual QA.
